[2024-08-16 16:21:49,274] ERROR - MainSocket : 
[2024-08-16 16:21:49,401] ERROR - MainSocket : 
[2024-08-16 16:21:49,533] ERROR - MainSocket : 
[2024-08-16 16:21:49,650] ERROR - MainSocket : 
[2024-08-16 16:21:49,775] ERROR - MainSocket : 
[2024-08-16 16:21:49,939] ERROR - MainSocket : 
[2024-08-16 16:23:01,663] INFO - Main : CyclopOwl - Start
[2024-08-16 16:23:04,333] INFO - Main : Stop server
[2024-08-16 16:26:29,198] INFO - Main : CyclopOwl - Start
[2024-08-16 16:26:30,726] INFO - Main : Stop server
[2024-08-16 16:26:32,826] INFO - Main : CyclopOwl - Start
[2024-08-16 16:26:33,987] INFO - Main : Stop server
[2024-08-16 16:29:10,092] INFO - Main : CyclopOwl - Start
[2024-08-16 16:29:11,418] INFO - Main : Stop server
[2024-08-16 16:29:26,790] INFO - Main : CyclopOwl - Start
[2024-08-16 16:29:26,790] INFO - Main : Stop server
[2024-08-16 16:29:50,891] INFO - Main : CyclopOwl - Start
[2024-08-16 16:29:52,071] INFO - Main : Stop server
[2024-08-16 16:33:35,204] INFO - Main : CyclopOwl - Start
[2024-08-16 16:33:36,643] INFO - Main : Stop server
